This file us automatically created when closing Incell Studio
Tab;Name;Address;Count;Scale;Signed;Min;Max;Type;Level;Writable;Value;Unit;Description
Battery;Battery charge;0x003B;1;0.010000;No;0;65535;0;1;0;91.18 Ah;Ah;Battery charge
Battery;Lifetime;0x003C;1;1.000000;No;0;65535;0;1;0;3047821 s;s;Lifetime
Battery;Cycle count;0x003E;1;1.000000;No;0;65535;0;1;0;46 ;;Cycle count
Battery;Model;0x003F;1;1.000000;No;0;255;0;0;0;17 ;;Model number
Battery;AFE update period;0x0040;1;0.001000;Yes;-32768;32767;0;1;0;0.242 s;s;AFE update period
Battery;AFE temp 1;0x0041;1;0.100000;Yes;-32768;32767;0;1;0;30.3 °C;°C;AFE die temperature 1
Battery;AFE temp 2;0x0042;1;0.100000;Yes;-32768;32767;0;1;0;28.3 °C;°C;AFE die temperature 2
Battery;AFE temp 3;0x0043;1;0.100000;Yes;-32768;32767;0;1;0;28.4 °C;°C;AFE die temperature 3
Battery;Service interface;0x0044;1;1.000000;Yes;0;1;0;1;0;-1 ;;Service interface
Battery;Current gain;0x0045;1;244.140625;Yes;-32768;32767;0;1;0;16357.421875 PPM;PPM;Current gain
Battery;LVD;0x0046;1;0.010000;Yes;-32768;32767;0;1;0;0.00 V;V;Low-voltage disconnect
Battery;5V supply;0x0047;1;0.001000;Yes;-32768;32767;0;1;0;4.988 V;V;5V supply voltage
Battery;Hardware revision;0x0048;1;1.000000;Yes;0;4;0;1;0;R2;;Hardware revision
Battery;Start-up checksum;0x0049;1;1.000000;No;0;65535;0;1;0;0x5FE1;;Start-up code checksum
Battery;Parallel known;0x004A;1;1.000000;No;0;65535;0;1;0;0x021E;;Parallel modules known
Battery;Parallel group;0x004B;1;1.000000;No;0;65535;0;1;0;0x021E;;Parallel modules in group
Battery;CAN receive error counter;0x004C;1;1.000000;No;0;65535;0;1;0;0 ;;CAN receive error counter
Battery;CAN transmit error counter;0x004D;1;1.000000;No;0;65535;0;1;0;0 ;;CAN transmit error counter
Battery;Capacity fade;0x004E;1;0.010000;Yes;-32768;32767;0;1;0;0.66 Ah;Ah;Capacity fade
